0,1-est,750,0.05264,0
1,2-est,750,0.05264,0.05264
2,3-est,750,0.05264,0.05264
3,4-est,750,0.05263,0.05264
4,5-est,750,0.05263,0.05263
5,6-est,750,0.05263,0.05263
6,7-est,750,0.05263,0.05263
7,8-est,750,0.05263,0.05263
8,9-est,750,0.05263,0.05263
9,10-est,750,0.05263,0.05263
10,11-est,750,0.05263,0.05263
11,12-est,750,0.05263,0.05263
12,13-est,750,0.05263,0.05263
13,14-est,750,0.05263,0.05263
14,15-est,750,0.05263,0.05263
15,16-est,750,0.05263,0.05263
16,17-est,750,0.05263,0.05263
17,18-est,750,0.05263,0.05263
18,19-est,750,0.05263,0.05263
19,20-est,750,0,0.05263
