0,0-PAN,1320,0.2209,0.0
1,1-ZAR,762,0.1948,0.0061
2,2-GOM,611,0.0814,0.0030
3,3-BOU,595,0.0494,0.0061
4,4-BAL,703,0.0203,0.0091
5,5-MOC,478,0.0116,0.0061
6,6-SAN,866,0.0407,0.0152
7,7-CAN,698,0.0262,0.0242
8,8-MER,745,0.0087,0.0212
9,9-PIN,382,0.0727,0.1848
10,10-ISA,445,0.0116,0.0182
11,11-SAL,458,0.0843,0.0424
12,12-BAL,409,0.0814,0.0970
13,13-CUA,793,0.0058,0.0333
14,14-INS,645,0.0233,0.1545
15,15-SEV,501,0.0174,0.0576
16,16-CHA,973,0.0058,0.1182
17,17-JUA,1158,0.0058,0.0394
18,18-TAC,1262,0.0379,0.0848
19,19-OBS,0,0.0,0.0788
